time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-06-30T09:48:06.970Z,-54.6565,-119.3484,10,5.4,mww,,82,27.834,0.81,us,us2000fs69,2018-06-30T10:32:20.040Z,"Southern East Pacific Rise",earthquake,16.4,1.9,0.073,18,reviewed,us,us
2018-06-30T04:48:10.820Z,-51.1405,139.3987,10,4.9,mb,,78,9.845,0.68,us,us2000fryb,2018-06-30T05:30:47.040Z,"Western Indian-Antarctic Ridge",earthquake,11.2,1.9,0.096,34,reviewed,us,us
2018-06-30T03:56:52.200Z,19.0696,-105.093,24.84,6,mww,,63,3.694,1.31,us,us2000frwr,2018-06-30T11:56:35.040Z,"44km WSW of San Patricio, Mexico",earthquake,8.2,4.8,0.057,30,reviewed,us,us
2018-06-30T02:25:38.890Z,13.26,50.7079,10,4.5,mb,,98,7.869,1.06,us,us2000frvf,2018-06-30T02:44:32.040Z,"158km NNW of Bereeda, Somalia",earthquake,5.7,1.9,0.088,38,reviewed,us,us
2018-06-30T01:09:30.290Z,13.3156,50.8545,10,4.7,mb,,110,8.02,0.85,us,us2000fru2,2018-06-30T01:24:59.040Z,"161km N of Bereeda, Somalia",earthquake,4.1,1.9,0.071,60,reviewed,us,us
2018-06-30T00:43:00.020Z,19.2874,145.4694,181.52,4.7,mb,,100,4.035,0.66,us,us2000frtk,2018-06-30T01:14:48.040Z,"61km NNW of Agrihan, Northern Mariana Islands",earthquake,10.4,7.8,0.032,295,reviewed,us,us
2018-06-29T17:50:46.350Z,19.4141667,-155.284,0.48,5.2,mw,31,30,0.003478,0.14,hv,hv70339416,2018-06-30T02:39:32.606Z,"5km WSW of Volcano, Hawaii",volcanic eruption,0.17,0.13,,17,reviewed,hv,hv
2018-06-29T17:07:09.980Z,-22.2123,-179.4636,583.21,5,mb,,50,5.02,0.98,us,us2000frin,2018-06-29T17:22:30.040Z,"190km SSW of Ndoi Island, Fiji",earthquake,9.7,7,0.059,92,reviewed,us,us
2018-06-29T14:18:45.380Z,-41.8004,174.4409,31.19,4.6,mb,,120,0.507,1.3,us,us2000frb2,2018-06-29T20:36:42.965Z,"51km SE of Blenheim, New Zealand",earthquake,1.8,8.6,0.173,11,reviewed,us,us
2018-06-29T12:03:57.620Z,-20.3828,-178.2365,523.71,4.6,mb,,48,4.381,0.87,us,us2000fr8k,2018-06-29T14:11:27.040Z,"56km ENE of Ndoi Island, Fiji",earthquake,10.5,5.7,0.031,317,reviewed,us,us
2018-06-29T09:48:45.830Z,-8.8447,127.4596,61.11,4.7,mb,,46,3.278,0.97,us,us2000fr4b,2018-06-29T10:12:01.040Z,"208km E of Aileu, East Timor",earthquake,5.5,7.9,0.086,41,reviewed,us,us
2018-06-29T09:16:43.230Z,15.6058,-94.3903,65.34,4.7,mb,,140,2.269,0.89,us,us2000fr3d,2018-06-30T04:28:46.030Z,"73km SW of Paredon, Mexico",earthquake,3.7,7.3,0.03,331,reviewed,us,us
2018-06-29T08:39:58.140Z,-7.0119,129.768,122.32,4.5,mb,,91,1.798,0.6,us,us2000fr2j,2018-06-29T08:56:53.040Z,"199km WNW of Saumlaki, Indonesia",earthquake,8.2,7.9,0.086,40,reviewed,us,us
2018-06-29T01:55:32.720Z,-5.932,142.7484,52.52,5.3,mb,,66,6.011,1.05,us,us2000fqu3,2018-06-29T03:22:22.394Z,"71km SW of Porgera, Papua New Guinea",earthquake,9.5,5,0.039,221,reviewed,us,us
2018-06-29T01:36:35.360Z,-14.7291,167.5003,110.34,4.6,mb,,114,6.02,0.84,us,us2000fqtn,2018-06-29T02:10:42.040Z,"60km NE of Port-Olry, Vanuatu",earthquake,10.7,8.4,0.093,34,reviewed,us,us
2018-06-29T00:42:19.240Z,32.2093,104.6266,12.49,4.8,mb,,34,10.86,0.72,us,us2000fqsd,2018-06-29T01:11:55.421Z,"24km SSE of Long'an, China",earthquake,8.7,4.3,0.047,17,reviewed,us,us
2018-06-28T23:35:27.870Z,2.4939,128.5355,227.38,4.8,mb,,60,2.071,0.66,us,us2000fqr0,2018-06-28T23:53:47.040Z,"102km NE of Tobelo, Indonesia",earthquake,6.2,6.1,0.039,203,reviewed,us,us
2018-06-28T22:51:16.520Z,-6.7706,130.0328,144.08,4.6,mb,,51,1.739,1.02,us,us2000fqqd,2018-06-28T23:15:15.040Z,"192km NW of Saumlaki, Indonesia",earthquake,6.8,1.6,0.081,45,reviewed,us,us
2018-06-28T16:47:49.200Z,-15.1357,167.4705,115,5.4,mww,,21,5.615,1.06,us,us2000fqdy,2018-06-29T17:21:48.116Z,"46km ESE of Port-Olry, Vanuatu",earthquake,6.3,1.6,0.069,20,reviewed,us,us
2018-06-28T15:24:59.330Z,-6.013,150.9388,70.93,4.6,mb,,66,2.182,0.92,us,us2000fqax,2018-06-29T16:37:52.040Z,"101km ESE of Kimbe, Papua New Guinea",earthquake,8.7,7.2,0.047,136,reviewed,us,us
2018-06-28T14:48:50.420Z,19.4118333,-155.2858333,0.2,5.3,mw,26,61,0.006025,0.14,hv,hv70333906,2018-06-28T19:38:35.992Z,"5km WSW of Volcano, Hawaii",volcanic eruption,0.17,0.15,,28,reviewed,hv,hv
2018-06-28T10:49:12.230Z,-2.7946,127.6187,43.39,5.1,mb,,67,3.551,0.96,us,us2000fq32,2018-06-28T11:04:35.040Z,"70km WNW of Piru, Indonesia",earthquake,7.3,8,0.081,50,reviewed,us,us
2018-06-28T08:48:43.770Z,-11.151,163.1629,10,4.9,mb,,106,3.592,0.78,us,us2000fq0d,2018-06-28T09:06:08.040Z,"156km ESE of Kirakira, Solomon Islands",earthquake,9.2,1.9,0.083,46,reviewed,us,us
2018-06-28T04:07:50.340Z,27.8504,84.8193,35,4.7,mb,,129,1.766,0.53,us,us2000fpul,2018-06-29T14:59:39.184Z,"42km ENE of Bharatpur, Nepal",earthquake,4.3,2,0.082,45,reviewed,us,us
2018-06-27T18:27:45.990Z,13.4458,146.0419,18.87,4.9,mb,,127,1.15,0.87,us,us2000fpct,2018-06-27T19:47:05.040Z,"119km SE of Rota, Northern Mariana Islands",earthquake,5.5,5.3,0.043,172,reviewed,us,us
2018-06-27T17:59:35.100Z,13.4409,145.7873,35,4.7,mb,,103,0.905,0.59,us,us2000fpc3,2018-06-27T19:41:42.040Z,"97km E of Yigo Village, Guam",earthquake,8.9,2,0.055,100,reviewed,us,us
2018-06-27T17:44:04.800Z,-17.9405,-178.0164,515.11,4.7,mb,,60,3.749,0.92,us,us2000fpbb,2018-06-27T18:17:37.040Z,"Fiji region",earthquake,8.4,5.9,0.031,311,reviewed,us,us
2018-06-27T16:09:06.830Z,48.4224,154.2505,62.13,4.5,mb,,182,5.176,0.6,us,us1000f3dn,2018-06-27T22:01:26.040Z,"285km SSW of Severo-Kuril'sk, Russia",earthquake,7.9,8.1,0.059,83,reviewed,us,us
2018-06-27T14:45:20.250Z,14.1004,-91.5447,60.61,4.8,mb,,170,0.446,1.2,us,us1000f3bt,2018-06-29T16:06:55.962Z,"27km SW of Pueblo Nuevo Tiquisate, Guatemala",earthquake,8.5,7,0.03,341,reviewed,us,us
2018-06-27T13:02:31.180Z,19.8167,96.1099,10,4.8,mb,,157,1.284,0.83,us,us1000f3az,2018-06-27T13:58:01.929Z,"8km NNW of Nay Pyi Taw, Burma",earthquake,4.5,1.9,0.131,18,reviewed,us,us
2018-06-27T12:45:07.120Z,10.0742,140.2671,35,4.8,mb,,97,5.7,0.56,us,us1000f3ax,2018-06-27T13:04:24.040Z,"43km NW of Fais, Micronesia",earthquake,10.8,2,0.071,62,reviewed,us,us
2018-06-27T11:38:40.100Z,1.2694,97.0918,26.99,4.8,mb,,172,0.484,0.56,us,us1000f3ac,2018-06-27T12:02:17.040Z,"155km SSE of Sinabang, Indonesia",earthquake,8.9,6.5,0.078,50,reviewed,us,us
2018-06-27T10:01:57.370Z,-35.5563,-16.8476,10,5.2,mb,,59,3.958,0.69,us,us1000f39v,2018-06-27T15:16:57.040Z,"Southern Mid-Atlantic Ridge",earthquake,6.7,1.9,0.072,64,reviewed,us,us
2018-06-27T08:40:40.320Z,19.4105,-155.2798333,0.55,5.3,mw,37,33,0.008183,0.1,hv,hv70327791,2018-06-28T06:51:13.040Z,"4km WSW of Volcano, Hawaii",volcanic eruption,0.13,0.1,,5,reviewed,hv,hv
2018-06-27T06:55:57.090Z,0.5374,126.3255,47.11,4.7,mb,,81,1.066,0.88,us,us1000f36g,2018-06-27T07:14:28.040Z,"119km WSW of Kota Ternate, Indonesia",earthquake,4.9,10.4,0.123,20,reviewed,us,us
2018-06-27T06:44:24.150Z,0.5427,126.1604,28.96,5.4,mww,,32,1.227,0.71,us,us1000f363,2018-06-27T18:40:25.040Z,"136km WSW of Kota Ternate, Indonesia",earthquake,2.8,5.2,0.071,19,reviewed,us,us
2018-06-27T06:40:56.190Z,-12.8895,45.6977,10,5.2,mb,,81,6.269,1.34,us,us1000f35z,2018-06-27T06:59:12.728Z,"46km ESE of Pamandzi, Mayotte",earthquake,9.4,1.9,0.087,43,reviewed,us,us
2018-06-27T05:37:42.380Z,-8.1398,117.858,29.17,4.8,mb,,69,3.63,0.75,us,us1000f34k,2018-06-27T05:56:51.040Z,"9km E of Labuhankananga, Indonesia",earthquake,7.5,5.3,0.097,33,reviewed,us,us
2018-06-27T00:13:59.270Z,12.5096,-89.0409,10,4.5,mb,,189,1.184,1.21,us,us1000f2vn,2018-06-27T00:54:32.040Z,"100km SSW of Puerto El Triunfo, El Salvador",earthquake,8.6,2,0.055,97,reviewed,us,us
2018-06-26T22:20:33.090Z,38.7271,48.8832,10,4.5,mb,,123,3.507,1.15,us,us1000f2sc,2018-06-27T19:35:19.366Z,"Caspian Sea, offshore Azerbaijan",earthquake,6.2,1.9,0.079,47,reviewed,us,us
2018-06-26T21:40:46.260Z,-1.889,100.3156,53.11,4.5,mb,,176,2.316,0.57,us,us1000f2r7,2018-06-26T21:59:58.040Z,"65km SSW of Painan, Indonesia",earthquake,5.5,7.4,0.093,34,reviewed,us,us
2018-06-26T18:02:19.650Z,15.6887,-93.9317,81.05,5.2,mww,,130,1.824,0.69,us,us1000f2gp,2018-06-27T15:15:18.274Z,"38km S of Paredon, Mexico",earthquake,4.2,5.4,0.047,43,reviewed,us,us
2018-06-26T17:57:04.970Z,34.6728,46.1322,10.22,4.7,mb,,105,0.557,0.7,us,us1000f2gd,2018-06-26T18:59:15.895Z,"34km NE of Sarpol-e Zahab, Iran",earthquake,5.7,4.8,0.048,134,reviewed,us,us
2018-06-26T17:50:13.810Z,-1.4244,-89.9156,15.87,4.5,mb,,162,0.832,0.74,us,us1000f2hp,2018-06-26T19:36:07.040Z,"66km SSW of San Cristobal, Ecuador",earthquake,14.6,5.8,0.08,46,reviewed,us,us
2018-06-26T15:25:28.730Z,1.0378,-85.2486,10,4.6,mb,,148,6.821,0.77,us,us1000f2ae,2018-06-26T19:17:38.040Z,"Off the coast of Ecuador",earthquake,10.3,1.9,0.054,104,reviewed,us,us
2018-06-26T11:03:04.630Z,39.3243,142.095,35,4.8,mb,,140,1.663,1.01,us,us1000f23y,2018-06-26T12:07:05.147Z,"17km ESE of Otsuchi, Japan",earthquake,6.6,2,0.069,65,reviewed,us,us
2018-06-26T09:15:36.840Z,-0.6835,-90.9391,10,5.5,mww,,134,0.653,0.96,us,us1000f22r,2018-06-26T16:14:21.449Z,"30km N of Puerto Villamil, Ecuador",earthquake,7.8,1.8,0.052,35,reviewed,us,us
2018-06-26T08:00:14.310Z,34.8997,132.8247,34.52,4.6,mb,,63,1.454,0.82,us,us1000f1zq,2018-06-26T11:14:02.227Z,"11km NNW of Miyoshi, Japan",earthquake,6.4,6.1,0.079,48,reviewed,us,us
2018-06-26T05:58:40.450Z,29.1544,130.5069,10,4.8,mb,,71,3.039,0.94,us,us1000f1yl,2018-06-26T06:20:48.040Z,"132km NE of Naze, Japan",earthquake,7.1,1.9,0.055,103,reviewed,us,us
2018-06-26T05:43:32.100Z,-15.6469,-172.6518,10,4.9,mb,,76,1.923,1.32,us,us1000f1yk,2018-06-26T06:42:52.040Z,"122km ENE of Hihifo, Tonga",earthquake,9.8,1.9,0.032,301,reviewed,us,us
2018-06-26T04:32:12.680Z,-30.3938,-71.5854,28.88,4.7,mwr,,137,0.282,0.74,us,us1000f1xi,2018-06-26T04:46:54.040Z,"43km WNW of Ovalle, Chile",earthquake,2.8,4.5,0.038,68,reviewed,us,us
2018-06-26T03:02:44.720Z,19.4113333,-155.2826667,0.76,5.2,mw,38,25,0.006439,0.09,hv,hv70321551,2018-06-29T20:44:50.092Z,"5km WSW of Volcano, Hawaii",volcanic eruption,0.14,0.1,,47,reviewed,hv,hv
2018-06-26T02:05:19.050Z,-32.1581,-71.8193,23.46,4.6,mwr,,134,0.597,0.79,us,us1000f1ue,2018-06-26T22:28:13.122Z,"64km WNW of La Ligua, Chile",earthquake,3.9,5.1,0.04,61,reviewed,us,us
2018-06-26T01:48:44.210Z,-59.542,-29.7799,27.22,5.7,mww,,65,6.422,0.72,us,us1000f1u8,2018-06-26T19:35:00.040Z,"194km WSW of Bristol Island, South Sandwich Islands",earthquake,10.3,4,0.073,18,reviewed,us,us
2018-06-26T00:02:16.460Z,22.2092,95.0342,21.81,4.6,mb,,122,1.395,0.46,us,us1000f1rs,2018-06-26T00:59:47.070Z,"14km NW of Monywa, Burma",earthquake,7.1,5.9,0.117,22,reviewed,us,us
2018-06-25T17:41:29.020Z,-13.0021,45.6938,10,5.2,mb,,51,6.161,1.15,us,us1000f1d4,2018-06-25T18:28:21.466Z,"50km ESE of Pamandzi, Mayotte",earthquake,10.5,1.8,0.073,62,reviewed,us,us
2018-06-25T12:49:07.570Z,-19.0362,169.6778,269.86,5,mww,,79,2.874,0.88,us,us1000f14j,2018-06-25T13:07:15.040Z,"71km NE of Isangel, Vanuatu",earthquake,9.3,6.7,0.08,15,reviewed,us,us
2018-06-25T10:59:53.660Z,-33.3586,-178.293,16.37,4.9,mb,,167,6.494,0.89,us,us1000f11h,2018-06-25T11:17:42.040Z,"221km SSE of L'Esperance Rock, New Zealand",earthquake,12.9,7.2,0.125,20,reviewed,us,us
2018-06-25T10:52:42.430Z,3.157,-31.3135,10,4.9,mb,,54,10.032,1.3,us,us1000f11c,2018-06-25T20:30:49.040Z,"Central Mid-Atlantic Ridge",earthquake,9.2,1.8,0.037,226,reviewed,us,us
2018-06-25T10:42:13.440Z,-58.9916,149.1339,31.53,5,mb,,109,7.029,1.19,us,us1000f114,2018-06-25T11:01:43.040Z,"West of Macquarie Island",earthquake,11.9,5.7,0.097,34,reviewed,us,us
2018-06-25T06:22:16.010Z,-2.8202,100.1566,50.49,4.9,mb,,113,3.185,0.76,us,us1000f0ui,2018-06-25T06:42:05.040Z,"158km WSW of Sungaipenuh, Indonesia",earthquake,4.8,7.3,0.07,65,reviewed,us,us
2018-06-25T05:20:00.790Z,13.6868,-90.7033,51.28,4.6,mb,,162,1.43,1.38,us,us1000f0tn,2018-06-27T21:46:46.533Z,"27km S of Iztapa, Guatemala",earthquake,8.4,10.9,0.04,187,reviewed,us,us
2018-06-25T05:14:48.650Z,36.7789,21.4071,30.35,5.5,mww,,46,0.575,1.04,us,us1000f0te,2018-06-27T10:26:17.165Z,"26km W of Methoni, Greece",earthquake,5.3,4.5,0.055,32,reviewed,us,us
2018-06-25T03:35:51.410Z,-1.3826,69.2934,10,4.5,mb,,168,4.143,0.96,us,us1000f0sz,2018-06-25T04:26:57.040Z,"Carlsberg Ridge",earthquake,10,1.9,0.156,12,reviewed,us,us
2018-06-25T03:33:29.560Z,6.995,-82.6901,10,4.5,mb,,146,1.538,1.07,us,us1000f0sl,2018-06-27T21:34:31.225Z,"116km S of Punta de Burica, Panama",earthquake,7.5,1.9,0.045,142,reviewed,us,us
2018-06-25T03:20:44.300Z,-8.1684,120.1818,199.24,4.5,mb,,59,2.086,1.31,us,us1000f0sj,2018-06-25T03:36:37.040Z,"17km NNW of Nggilat, Indonesia",earthquake,7.7,5.5,0.077,50,reviewed,us,us
2018-06-25T02:29:21.380Z,-18.7982,-177.6736,564.11,4.7,mb,,41,4.193,1.05,us,us1000f0s5,2018-06-25T02:47:27.040Z,"231km NNE of Ndoi Island, Fiji",earthquake,11.2,8.3,0.032,290,reviewed,us,us
2018-06-25T02:12:24.210Z,19.4106667,-155.283,0.9,5.2,mw,34,25,0.007035,0.11,hv,hv70316456,2018-06-26T23:23:47.040Z,"5km WSW of Volcano, Hawaii",volcanic eruption,0.18,0.13,,47,reviewed,hv,hv
2018-06-25T01:08:25.330Z,29.0311,130.4121,37.06,4.5,mb,,85,2.892,0.59,us,us1000f0qa,2018-06-25T02:21:57.040Z,"116km NE of Naze, Japan",earthquake,8.2,8.1,0.078,49,reviewed,us,us
2018-06-24T23:55:25.900Z,-7.4011,-107.6067,10,4.7,mb,,110,28.228,1.21,us,us1000f0nw,2018-06-25T00:19:18.040Z,"Central East Pacific Rise",earthquake,15,1.9,0.048,128,reviewed,us,us
2018-06-24T22:15:00.050Z,-25.4734,-177.1996,100.77,5.3,mww,,58,3.812,1.1,us,us1000f0ks,2018-06-26T19:42:17.040Z,"South of the Fiji Islands",earthquake,11.1,6.4,0.078,16,reviewed,us,us
2018-06-24T19:34:50.020Z,-3.1934,130.5185,33.04,4.7,mb,,68,1.749,1.06,us,us1000f0gy,2018-06-24T19:53:47.040Z,"178km E of Amahai, Indonesia",earthquake,7.5,5.5,0.093,35,reviewed,us,us
2018-06-24T19:14:24.970Z,-5.2839,68.5939,10,5,mb,,192,4.379,0.99,us,us1000f0gq,2018-06-24T19:39:22.040Z,"Chagos Archipelago region",earthquake,14.5,1.9,0.094,36,reviewed,us,us
2018-06-24T18:43:42.900Z,-9.0317,-108.54,10,5.7,mww,,145,19.98,0.97,us,us1000f0fv,2018-06-25T20:18:20.484Z,"Central East Pacific Rise",earthquake,8,1.8,0.062,25,reviewed,us,us
2018-06-24T18:33:32.050Z,-9.149,-108.6839,10,4.9,mb,,158,20.157,0.79,us,us1000f0fl,2018-06-24T18:51:57.040Z,"Central East Pacific Rise",earthquake,15,1.9,0.031,334,reviewed,us,us
2018-06-24T18:16:49.620Z,5.4216,126.249,95.96,4.5,mb,,123,1.767,1.03,us,us1000f0f3,2018-06-24T20:07:06.040Z,"86km SE of Caburan, Philippines",earthquake,6,6.9,0.052,111,reviewed,us,us
2018-06-24T15:30:32.310Z,5.7051,125.4854,76.39,4.5,mb,,107,1.358,0.69,us,us1000f0c5,2018-06-24T15:55:39.040Z,"2km SW of Kalbay, Philippines",earthquake,8.4,8,0.072,57,reviewed,us,us
2018-06-24T15:09:32.960Z,-22.6353,-176.3063,63.86,5.2,mww,,35,6.742,1.11,us,us1000f0bn,2018-06-24T16:01:43.040Z,"195km SW of Vaini, Tonga",earthquake,8.3,4.8,0.073,18,reviewed,us,us
2018-06-24T14:00:15.470Z,-3.4358,130.6144,36.89,4.5,mb,,82,1.71,0.85,us,us1000f0ad,2018-06-24T15:13:48.040Z,"189km E of Amahai, Indonesia",earthquake,9.9,10.1,0.136,16,reviewed,us,us
2018-06-24T13:18:08.620Z,43.621,147.4907,86.7,4.6,mb,,118,3.569,0.58,us,us1000f09r,2018-06-24T14:57:29.040Z,"65km ESE of Shikotan, Russia",earthquake,10.6,7.9,0.071,59,reviewed,us,us
2018-06-24T13:05:34.520Z,-59.2837,-26.8886,117.13,4.9,mb,,123,15.712,0.95,us,us1000f09j,2018-06-24T14:34:55.040Z,"35km SW of Bristol Island, South Sandwich Islands",earthquake,14.9,7.2,0.11,29,reviewed,us,us
2018-06-24T09:41:54.780Z,9.2633,125.6161,47.98,4.8,mb,,56,2.179,0.5,us,us1000f06j,2018-06-29T06:10:05.776Z,"6km ENE of Jagupit, Philippines",earthquake,8.6,7.1,0.051,118,reviewed,us,us
2018-06-24T06:49:09.820Z,9.4392,126.1099,92.25,4.5,mb,,128,2.412,0.61,us,us1000f041,2018-06-24T14:51:45.463Z,"18km NE of Cantilan, Philippines",earthquake,11.5,8.7,0.072,56,reviewed,us,us
2018-06-24T05:16:17.760Z,21.6646,144.2954,116.89,4.5,mb,,115,5.739,0.56,us,us1000f03h,2018-06-24T06:11:33.040Z,"139km NNW of Farallon de Pajaros, Northern Mariana Islands",earthquake,13.4,8.4,0.09,36,reviewed,us,us
2018-06-24T05:01:48.810Z,-24.2344,-66.9333,181.13,4.8,mww,,35,1.713,1.14,us,us1000f02q,2018-06-24T11:36:47.985Z,"62km W of San Antonio de los Cobres, Argentina",earthquake,7.6,7.3,0.073,18,reviewed,us,us
2018-06-24T03:32:33.990Z,-24.1622,-179.9276,517.27,4.5,mb,,72,5.368,0.6,us,us1000f02c,2018-06-24T04:01:31.040Z,"South of the Fiji Islands",earthquake,12.8,7.5,0.044,153,reviewed,us,us
2018-06-24T02:34:35.940Z,19.4103333,-155.2868333,-1.14,5.2,mw,61,22,0.007734,0.34,hv,hv70311776,2018-06-24T22:55:18.831Z,"5km WSW of Volcano, Hawaii",volcanic eruption,0.17,31.61,,24,reviewed,hv,hv
2018-06-23T22:17:44.900Z,3.9013,126.7619,10,4.6,mb,,121,3.166,0.74,us,us1000ezwv,2018-06-23T22:42:32.040Z,"219km SE of Sarangani, Philippines",earthquake,9.1,1.9,0.091,36,reviewed,us,us
2018-06-23T21:54:31.190Z,12.5053,-88.8181,10,4.6,mb,,166,1.241,1.19,us,us1000ezw9,2018-06-23T22:12:15.040Z,"90km SSW of Puerto El Triunfo, El Salvador",earthquake,6.8,1.9,0.068,65,reviewed,us,us
2018-06-23T21:13:36.680Z,27.8787,52.1373,10,4.6,mb,,59,4.672,0.62,us,us1000ezuy,2018-06-23T22:05:24.459Z,"115km SSW of Firuzabad, Iran",earthquake,7.5,1.9,0.06,83,reviewed,us,us
2018-06-23T19:45:45.610Z,-12.9729,45.5559,10,4.9,mb,,53,6.222,0.55,us,us1000ezt2,2018-06-23T22:59:33.508Z,"35km SE of Pamandzi, Mayotte",earthquake,8.8,1.9,0.069,66,reviewed,us,us
2018-06-23T13:38:46.520Z,-29.8887,-179.0886,327.56,4.9,mb,,77,1.196,0.98,us,us1000ezk1,2018-06-23T15:06:49.040Z,"134km WSW of Raoul Island, New Zealand",earthquake,7.1,5.4,0.062,80,reviewed,us,us
2018-06-23T11:23:36.300Z,-19.3808,-175.4956,241.23,4.5,mb,,110,5.27,1.13,us,us1000ezi7,2018-06-29T06:12:37.040Z,"128km WNW of Pangai, Tonga",earthquake,10.8,13.1,0.108,25,reviewed,us,us
2018-06-23T04:52:16.230Z,19.3986667,-155.2741667,0.33,5.3,mw,22,48,0.003318,0.1,hv,hv70307431,2018-06-28T22:26:10.040Z,"5km SW of Volcano, Hawaii",volcanic eruption,0.13,0.15,,23,reviewed,hv,hv
2018-06-23T03:50:06.470Z,38.6085,44.3634,10,4.6,mb,,39,1.565,0.95,us,us1000ezck,2018-06-23T04:07:37.040Z,"17km ESE of Saray, Turkey",earthquake,5.2,1.9,0.06,83,reviewed,us,us
2018-06-23T02:31:35.500Z,-44.4856,-79.7662,10,5.1,mww,,140,4.624,0.95,us,us1000ezal,2018-06-23T02:47:34.040Z,"Off the coast of Aisen, Chile",earthquake,7.9,1.9,0.073,18,reviewed,us,us
2018-06-23T01:54:42.320Z,10.7643,-62.6274,106.32,5.1,mww,,30,1.661,1.1,us,us1000ez9p,2018-06-23T17:11:49.396Z,"22km NNW of Irapa, Venezuela",earthquake,6.9,6.3,0.071,19,reviewed,us,us
2018-06-23T00:54:59.070Z,-10.322,161.0664,38.09,5.2,mb,,58,1.409,0.75,us,us1000ez8g,2018-06-23T01:08:29.040Z,"94km W of Kirakira, Solomon Islands",earthquake,7.3,6.9,0.068,71,reviewed,us,us
2018-06-23T00:33:38.160Z,-10.2631,161.1162,16.58,5.5,mww,,36,1.413,0.66,us,us1000ez7w,2018-06-25T14:42:02.040Z,"90km WNW of Kirakira, Solomon Islands",earthquake,5.2,3.2,0.073,18,reviewed,us,us
2018-06-22T20:57:43.970Z,-4.932,108.3546,646.7,5.3,mww,,31,2.954,1.01,us,us1000ez1q,2018-06-23T17:11:14.040Z,"154km N of Indramayu, Indonesia",earthquake,9.2,4.9,0.071,19,reviewed,us,us
2018-06-22T20:08:54.300Z,3.8371,-76.2542,90.64,4.5,mb,,96,2.172,1.12,us,us1000ez04,2018-06-23T16:31:56.691Z,"8km SE of Buga, Colombia",earthquake,7.8,8.6,0.082,43,reviewed,us,us
2018-06-22T19:24:30.490Z,-10.0295,161.6503,43.03,5.4,mww,,42,1.778,0.69,us,us1000eyyg,2018-06-23T17:12:14.040Z,"55km NNW of Kirakira, Solomon Islands",earthquake,6.2,4.5,0.083,14,reviewed,us,us
2018-06-22T14:22:32.640Z,-10.6412,165.949,41.43,4.6,mb,,252,6.03,0.7,us,us2000fqal,2018-06-29T07:02:44.040Z,"15km ENE of Lata, Solomon Islands",earthquake,8.2,14.6,0.206,7,reviewed,us,us
