username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
DJGILESPOTTER;2017-04-29 10:36;2;15;"Commercial hous r&b chart dj got a potential gig in Halifax tonight £100 + hotel and travel give me a message for details";;;;"858314047250366465";https://twitter.com/DJGILESPOTTER/status/858314047250366465
myhalevents;2017-04-15 14:42;0;0;"Bump & Grind: A 90's R&B Thang V.2 http:// halevents.ca/halifax-dartmo uth-bedford-sackville-ns-events/2897/bump-grind-a-90s-rb-thang-v-2/?utm_source=dlvr.it&utm_medium=twitter … #halevents #halifax pic.twitter.com/ijhYZ1ZB5j";;;#halevents #halifax;"853302430733287424";https://twitter.com/myhalevents/status/853302430733287424
dancedeets;2017-04-04 00:30;0;0;"2017/04/15: Halifax , NS, Canada: Bump & Grind: A 90's R&B Thang V.2 http://www. dancedeets.com/events/1686874 014945330/?utm_campaign=autopost&utm_medium=share&utm_source=twitter_feed … pic.twitter.com/3kVsyLVXAN";;;;"849101736283443200";https://twitter.com/dancedeets/status/849101736283443200
stepxstepdance;2017-04-02 16:57;0;0;"2017/04/15: Halifax , NS, Canada: Bump & Grind: A 90's R&B Thang V.2 http://www. dancedeets.com/events/1686874 014945330/?utm_campaign=autopost&utm_medium=share&utm_source=twitter_feed … pic.twitter.com/qKjEjwkVgH";;;;"848625339416932353";https://twitter.com/stepxstepdance/status/848625339416932353
ventsmagazine;2017-03-14 19:06;0;2;"INTERVIEW: Halifax ’s Alt. R&B /Soul artist Dammien Alexander http:// ventsmagazine.com/2017/03/14/int erview-halifaxs-alt-rbsoul-artist-dammien-alexander/ … pic.twitter.com/I1nucqwOHm";;;;"841772616075620352";https://twitter.com/ventsmagazine/status/841772616075620352
myhalevents;2017-02-25 17:57;0;0;"Rasta Gumbo ( R&B /Reggae) http:// halevents.ca/halifax-dartmo uth-bedford-sackville-ns-events/2452/rasta-gumbo-rbreggae/?utm_source=dlvr.it&utm_medium=twitter … #halevents #halifax pic.twitter.com/ihtrHdmQZZ";;;#halevents #halifax;"835609590259560448";https://twitter.com/myhalevents/status/835609590259560448
gridcitymag;2017-02-17 10:05;0;1;"Halifax pop/ r&b sensations touring latest release, Chill For You. Play #Fredericton Feb. 18 http:// ow.ly/XU7E3095SJ6 at @CapitalComplex pic.twitter.com/h75zwRZ6lE";;@CapitalComplex;#Fredericton;"832591755417681923";https://twitter.com/gridcitymag/status/832591755417681923
salvo_pistaract;2017-01-06 07:24;1;1;"Halifax experimental electronic R&B modern soul art pop world music folk - #EdSheeran "Shape Of You" https:// youtu.be/_dK2tDK9grQ #indiemusic";;;#EdSheeran #indiemusic;"817330918226620416";https://twitter.com/salvo_pistaract/status/817330918226620416
HalifaxCountySO;2016-12-06 10:11;0;1;"Followup Arrest... Further investigation led by Detectives R. Hale and R.B . Biggerstaff of the Halifax County... http:// fb.me/1CGgpUL4v";;;;"806138926310326272";https://twitter.com/HalifaxCountySO/status/806138926310326272
r_b_anderson;2016-11-22 06:57;3;0;"Port of Halifax to Prepare for Mega-Ships https:// worldmaritimenews.com/archives/20705 3/port-of-halifax-to-prepare-for-mega-ships/#.WDQkswJm1VE.twitter …";;;#;"801016869419356161";https://twitter.com/r_b_anderson/status/801016869419356161
CassidyTaggart;2016-11-15 15:52;0;27;"forever wishing that halifax had a radio station that played only old pop and r&b my car would be bumpin 24/7";;;;"798614623931011077";https://twitter.com/CassidyTaggart/status/798614623931011077